Cód. Oficina,Nombre Oficina,Municipio,Departamento,Días de apertura,Dirección,Extension,Teléfono
1556,PESCA,Pesca,Boyacá,LUNES A VIERNES,Carrera 4 No.4-13,28383   47071   47280   47378   47419,6013821400
6017,PIEDECUESTA,Piedecuesta,Santander,LUNES A VIERNES,Calle 6 No. 5-98/86,27530   27531   45069   45113   45154   45239   45306   45405   45458   45481,6013821400
6641,PIEDRAS,Piedras,Tolima,MARTES A VIERNES Y      SÁBADO,CALLE 2 No 2 - 24/26,49040   28816   49437,6013821400
6922,PIENDAMO,Piendamó,Cauca,MARTES A SABADO,Cra. 3 Calle 8-00,22610   46051   46254   46548   46596   46597   46602,6013821400
5462,PIJAO,Pijao,Quindio,MARTES A SABADO,Carrera 5 No. 11 - 48 Local 01,26165   43079   43228,6013821400
1246,PINILLOS,Pinillos,Bolívar,LUNES A VIERNES,Plaza  Principal,25099   44090   44433,6013821400
3963,PITAL,Pital,Huila,MARTES A VIERNES Y      SÁBADO,Calle 8 No. 8 - 05,26220   49065   49501,6013821400
3942,PITALITO,Pitalito,Huila,LUNES A VIERNES,Carrera 5 N°3-56,25359   25360   25361   25362   49010   49103   49146   49161   49226   49227   49232   49263   49274   49330   49363   49395   49412   49527   49528   49541   49563   49569   49626   49674   49077   49168   49225   49393   49630,6013821400
4240,PIVIJAY,Pivijay,Magdalena,LUNES A VIERNES,Carrera 15 No. 4 -23 Barrio Centro,25157   44107   44161   44217   44400   44455   44473   44485,6013821400
3350,PIZARRO,Bajo Baudó,Chocó,LUNES A VIERNES,Barrio Santander - Antiguo Horgar Infantil - Pizarro - Chocó,41086   24975   41300,6013821400
6642,PLANADAS,Planadas,Tolima,MARTES A VIERNES Y      SÁBADO,"CRA 6 No 5 - 43        Cra. 6 No,. 8-40",27788   27789   49079   49178   49208   49260   49270   49311   49440   49467,6013821400
2765,PLANETA RICA,Planeta Rica,Córdoba,LUNES A VIERNES,Carrera 8 No. 18-11 0 CALLE PRINCIPAL,24774   24775   41046   41255   41363   41446   41569   41578   41589   41706,6013821400
4244,PLATO,Plato,Magdalena,LUNES A VIERNES,Carrera 15 No. 6-61 Los guayacane,25525   44054   44218   44235   44268   44278   44323   44359,6013821400
4891,POLICARPA,Policarpa,Nariño,MARTES A VIERNES Y      SÁBADO,"Calle 3 No. 2-60 Centro Administrativo Municipal , Barrio Puerto Nuevo, Etapa No. 2",26232   46073   46349   46572,6013821400
6918,POPAYAN,Popayán,Cauca,LUNES A VIERNES,Calle 4 No.7-03,22009   22010   22011   22012   46006   46010   46074   46093   46138   46182   46183   46236   46255   46287   46288   46289   46296   46323   46370   46381   46392   46421   46429   46439   46501   46506   46562   46564   46566   46592   46593   46614,6013821400
8646,PORE,Pore,Casanare,LUNES A VIERNES,Calle 3 No. 16-82/16/88,28599   47093   47395   47435   47485,6013821400
6941,PRADERA,Pradera,Valle del Cauca,LUNES A VIERNES,Calle 7 No. 10-63,22980   46062   46133   46473   46594   46612,6013821400
6645,PRADO,Prado,Tolima,MARTES A VIERNES Y      SÁBADO,Cra.6 No.10-17,49024   28818   49177   49511,6013821400
8110,PROVIDENCIA,Providencia,"Archipiélago de San Andrés, Providencia y Santa Catalina",LUNES A VIERNES,Carrera 9 No. 23-33 Sector de Pueblo Viejo.,25730   44022   44256,6013821400
2767,PUEBLO NUEVO,Pueblo Nuevo,Córdoba,LUNES A VIERNES,Carrera 9 No. 11-75 Barrio Las Flores - local 01,41123   24917   41566   41658,6013821400
5755,PUEBLO RICO,Pueblo Rico,Risaralda,MARTES A SABADO,CRA. 4 No.6-07/11,26163   43019   43232,6013821400
1452,PUEBLORRICO,Pueblorrico,Antioquia,MARTES A SABADO,Calle 30No.29-27 edificio del café,41160   41626   24193,6013821400
4820,PUERRES,Puerres,Nariño,LUNES A VIERNES,Cra.3 No.6-15/ 29 Barrio el Centro,46047   22908   46407   46471   46608   46617   46634,6013821400
7930,PUERTO ASIS,Puerto Asís,Putumayo,LUNES A VIERNES,Calle 11 No.19-33,25920   49114   49155   49251   49338   49536   49548   49589   49604   49615,6013821400
1365,PUERTO BERRIO,Puerto Berrío,Antioquia,LUNES A VIERNES,CALLE 50 N° 5-27/29/31/35,24540   24541   41007   41091   41246   41286   41311   41478   41574,6013821400
1560,PUERTO BOYACA,Puerto Boyacá,Boyacá,LUNES A VIERNES,Calle 11 No. 3 A 24,24820   47110   47141   47311   47354   47414   47538   47547,6013821400
8503,PUERTO CARREÑO,Puerto Carreño,Vichada,LUNES A VIERNES,Calle 18 No. 6 - 77 Barrio Centro - Sector Bancario,21940   42078   42276   42423,6013821400
1652,PUERTO COLOMBIA,Puerto Colombia,Atlántico,LUNES A VIERNES,Carrera 5 No. 2 - 03,25121   44102   44211   44295,6013821400
2769,PUERTO ESCONDIDO,Puerto Escondido,Córdoba,LUNES A VIERNES,Carrera 3 No.3-32 Local 1 Plaza Principal,24925   41032   41364,6013821400
4524,PUERTO GAITAN,Puerto Gaitán,Meta,LUNES A VIERNES,Calle 8 No.15-07,42285   21369   42478   42526   42555,6013821400
7960,PUERTO GUZMAN,Puerto Guzmán,Putumayo,LUNES A VIERNES,Carrera 4 No.4-76 -  Barrio Los Prados - Puerto Guzmán,28698   49029   49188   49449,6013821400
7703,PUERTO INIRIDA,Inírida,Guainía,LUNES A VIERNES,Carrera. 2a. Av. Fundadores - Frente al Palacio Gubernamental,21900   42214   42342   42561,6013821400
7935,PUERTO LEGUIZAMO,Puerto Leguízamo,Putumayo,LUNES A VIERNES,Calle 6 No. 2 -106 Barrio el Centro,49100   25899   49318   49592,6013821400
2771,PUERTO LIBERTADOR,Puerto Libertador,Córdoba,LUNES A VIERNES,Cra. 9 Nº. 8-01/03/07  Calle Principal del Comercio,41124   24912   41590   41633,6013821400
4522,PUERTO LLERAS,Puerto Lleras,Meta,LUNES A VIERNES,Carrera 5 No. 6 A -42 Parque Principal.,42042   21124   42643   42663   42696,6013821400
4530,PUERTO LOPEZ,Puerto López,Meta,LUNES A VIERNES,Carrera 4 No. 5-16/20 Barrio Abel Rey,21810   42125   42164   42354   42409   42551   42727,6013821400
1430,PUERTO NARE,Puerto Nare,Antioquia,MARTES A SABADO,Calle 50 No.2-13,24750   41121   41534   41628,6013821400
4523,PUERTO RICO,Puerto Rico,Meta,LUNES A VIERNES,Calle 13 No. 3-20-24,21126   42060   42336   42519   42697,6013821400
7560,PUERTO RICO,Puerto Rico,Caquetá,LUNES A VIERNES,Calle 5 No. 5-92-96 y Carrera 6 No. 5-00-02-06-10 Barrio Las Américas,28950   49098   49183   49199   49459   49521   49614   49659,6013821400
7350,PUERTO RONDON,Puerto Rondón,Arauca,LUNES A VIERNES,CALLE 1 No. 3-56,42128   21142   42213,6013821400
3164,PUERTO SALGAR,Puerto Salgar,Cundinamarca,LUNES A VIERNES,Calle 11 No.12-17    Calle 12 No. 11-17,26370   43049   43096   43139   43140   43248,6013821400
5105,PUERTO SANTANDER,Puerto Santander,Norte de Santander,LUNES A VIERNES,Carrera 3 N° 4 -70,27227   45027   45230   45381,6013821400
